Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,Mama Foundation,03/20/2019 12:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,Music,25,Adults;#Seniors
Recreation,John Bunge,03/21/2019 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make Your Mark: Fabric Collages,Agency Produced Event,Arts/Culture,AC&F,21,General Public;#Seniors;#Teens;#Adults;#Adaptive
Recreation,,03/22/2019 04:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Final Four Fridays,Tournament/Competition,Sport,Tier 1,66,Children;#Teens;#General Public
Recreation,John Bunge,03/23/2019 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make Your Mark: Fabric Collages,Agency Produced Event,Arts/Culture,AC&F,26,General Public;#Adaptive;#Adults;#Teens;#Seniors;#Young Adult
Recreation,7th Precinct Community Affairs,03/23/2019 12:00:00 PM,Manhattan,Other,Basketball City,March Madness: Cops & Kids Baksetball,Tournament/Competition,Sport,Tier 1,335,Children;#Teens;#General Public
Aquatics,,03/24/2019 09:00:00 AM,Queens,Recreation Center,Flushing Meadows Corona Park Pool & Rink,High Point  2,Tournament/Competition,Sport,Tier 1,1047,Children;#General Public
Recreation,,03/24/2019 12:00:00 PM,Queens,Recreation Center,Al Oerter Recreation Center,She's On Point,Community Based Event,Sport,Tier 1,200,Children;#Teens;#General Public
Recreation,Mama Foundation,03/27/2019 01:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,"Women's History Month ""Alive and Kickin"" Vy Higginsen",Local Event,Arts/Culture,Music,25,Adults;#Seniors
Recreation,Community Day Care Centers,03/27/2019 10:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,Alphabet Parade,Agency Produced Event,Academic/Out of School time,Play,57,Tot
Recreation,,03/27/2019 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Women's History Month: Art Inspired By: Faith Ringgold,Agency Produced Event,Arts/Culture,,32,Children;#Young Adult;#Adults;#Teens;#Adaptive;#General Public;#Seniors
